"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B01001A_031",186,43
"2","19003","Adams County, Iowa","B01001A_031",83,25
"3","19005","Allamakee County, Iowa","B01001A_031",299,75
"4","19007","Appanoose County, Iowa","B01001A_031",300,60
"5","19009","Audubon County, Iowa","B01001A_031",187,33
"6","19011","Benton County, Iowa","B01001A_031",377,79
"7","19013","Black Hawk County, Iowa","B01001A_031",1854,199
"8","19015","Boone County, Iowa","B01001A_031",421,79
"9","19017","Bremer County, Iowa","B01001A_031",423,77
"10","19019","Buchanan County, Iowa","B01001A_031",344,69
"11","19021","Buena Vista County, Iowa","B01001A_031",417,56
"12","19023","Butler County, Iowa","B01001A_031",281,51
"13","19025","Calhoun County, Iowa","B01001A_031",276,47
"14","19027","Carroll County, Iowa","B01001A_031",557,99
"15","19029","Cass County, Iowa","B01001A_031",395,67
"16","19031","Cedar County, Iowa","B01001A_031",361,70
"17","19033","Cerro Gordo County, Iowa","B01001A_031",1073,143
"18","19035","Cherokee County, Iowa","B01001A_031",345,76
"19","19037","Chickasaw County, Iowa","B01001A_031",205,51
"20","19039","Clarke County, Iowa","B01001A_031",139,54
"21","19041","Clay County, Iowa","B01001A_031",376,90
"22","19043","Clayton County, Iowa","B01001A_031",397,69
"23","19045","Clinton County, Iowa","B01001A_031",860,141
"24","19047","Crawford County, Iowa","B01001A_031",206,68
"25","19049","Dallas County, Iowa","B01001A_031",991,213
"26","19051","Davis County, Iowa","B01001A_031",164,55
"27","19053","Decatur County, Iowa","B01001A_031",158,44
"28","19055","Delaware County, Iowa","B01001A_031",337,80
"29","19057","Des Moines County, Iowa","B01001A_031",755,122
"30","19059","Dickinson County, Iowa","B01001A_031",435,80
"31","19061","Dubuque County, Iowa","B01001A_031",1710,168
"32","19063","Emmet County, Iowa","B01001A_031",215,63
"33","19065","Fayette County, Iowa","B01001A_031",423,66
"34","19067","Floyd County, Iowa","B01001A_031",374,91
"35","19069","Franklin County, Iowa","B01001A_031",168,47
"36","19071","Fremont County, Iowa","B01001A_031",138,38
"37","19073","Greene County, Iowa","B01001A_031",221,54
"38","19075","Grundy County, Iowa","B01001A_031",265,54
"39","19077","Guthrie County, Iowa","B01001A_031",212,49
"40","19079","Hamilton County, Iowa","B01001A_031",412,85
"41","19081","Hancock County, Iowa","B01001A_031",286,50
"42","19083","Hardin County, Iowa","B01001A_031",410,76
"43","19085","Harrison County, Iowa","B01001A_031",240,53
"44","19087","Henry County, Iowa","B01001A_031",390,72
"45","19089","Howard County, Iowa","B01001A_031",211,59
"46","19091","Humboldt County, Iowa","B01001A_031",221,47
"47","19093","Ida County, Iowa","B01001A_031",147,35
"48","19095","Iowa County, Iowa","B01001A_031",315,85
"49","19097","Jackson County, Iowa","B01001A_031",380,79
"50","19099","Jasper County, Iowa","B01001A_031",490,99
"51","19101","Jefferson County, Iowa","B01001A_031",333,112
"52","19103","Johnson County, Iowa","B01001A_031",1412,177
"53","19105","Jones County, Iowa","B01001A_031",485,102
"54","19107","Keokuk County, Iowa","B01001A_031",187,42
"55","19109","Kossuth County, Iowa","B01001A_031",455,97
"56","19111","Lee County, Iowa","B01001A_031",641,87
"57","19113","Linn County, Iowa","B01001A_031",3058,281
"58","19115","Louisa County, Iowa","B01001A_031",177,42
"59","19117","Lucas County, Iowa","B01001A_031",190,56
"60","19119","Lyon County, Iowa","B01001A_031",251,56
"61","19121","Madison County, Iowa","B01001A_031",223,76
"62","19123","Mahaska County, Iowa","B01001A_031",459,78
"63","19125","Marion County, Iowa","B01001A_031",607,118
"64","19127","Marshall County, Iowa","B01001A_031",562,125
"65","19129","Mills County, Iowa","B01001A_031",204,90
"66","19131","Mitchell County, Iowa","B01001A_031",296,48
"67","19133","Monona County, Iowa","B01001A_031",231,47
"68","19135","Monroe County, Iowa","B01001A_031",129,55
"69","19137","Montgomery County, Iowa","B01001A_031",198,51
"70","19139","Muscatine County, Iowa","B01001A_031",588,117
"71","19141","O'Brien County, Iowa","B01001A_031",472,72
"72","19143","Osceola County, Iowa","B01001A_031",200,39
"73","19145","Page County, Iowa","B01001A_031",372,70
"74","19147","Palo Alto County, Iowa","B01001A_031",294,53
"75","19149","Plymouth County, Iowa","B01001A_031",592,96
"76","19151","Pocahontas County, Iowa","B01001A_031",148,33
"77","19153","Polk County, Iowa","B01001A_031",4717,398
"78","19155","Pottawattamie County, Iowa","B01001A_031",1524,171
"79","19157","Poweshiek County, Iowa","B01001A_031",351,99
"80","19159","Ringgold County, Iowa","B01001A_031",153,58
"81","19161","Sac County, Iowa","B01001A_031",217,53
"82","19163","Scott County, Iowa","B01001A_031",2346,243
"83","19165","Shelby County, Iowa","B01001A_031",334,63
"84","19167","Sioux County, Iowa","B01001A_031",555,126
"85","19169","Story County, Iowa","B01001A_031",1069,183
"86","19171","Tama County, Iowa","B01001A_031",346,66
"87","19173","Taylor County, Iowa","B01001A_031",153,30
"88","19175","Union County, Iowa","B01001A_031",247,70
"89","19177","Van Buren County, Iowa","B01001A_031",96,38
"90","19179","Wapello County, Iowa","B01001A_031",480,112
"91","19181","Warren County, Iowa","B01001A_031",633,107
"92","19183","Washington County, Iowa","B01001A_031",533,82
"93","19185","Wayne County, Iowa","B01001A_031",138,31
"94","19187","Webster County, Iowa","B01001A_031",678,119
"95","19189","Winnebago County, Iowa","B01001A_031",239,56
"96","19191","Winneshiek County, Iowa","B01001A_031",456,99
"97","19193","Woodbury County, Iowa","B01001A_031",1345,164
"98","19195","Worth County, Iowa","B01001A_031",150,42
"99","19197","Wright County, Iowa","B01001A_031",329,80
